title,Distributor,Genre,release_date,budget,Domestic Sales (in $),International Sales (in $),Domestic Sales (as % of total Revenue),International Sales (as % of total Revenue),Revenue,Profit/Loss,vote_average
"Legally Blonde 2: Red, White & Blonde",Metro-Goldwyn-Mayer (MGM),Comedy,2003-07-02,45000000.0,90186328,34728514,72.20%,27.80%,124914842,79914842.0,5.1
Mystic River,Warner Bros.,"Crime, Drama, Mystery, Thriller",2003-10-07,25000000.0,90135191,66460000,57.56%,42.44%,156595191,131595191.0,7.6
Terminator Genisys,Paramount Pictures,"Action, Adventure, Sci-Fi, Thriller",2015-06-23,155000000.0,89760956,350842581,20.37%,79.63%,440603537,285603537.0,5.8
Flightplan,Walt Disney Studios Motion Pictures,"Drama, Mystery, Thriller",2005-09-22,55000000.0,89707299,133680000,40.16%,59.84%,223387299,168387299.0,6.1
The Emperor's New Groove,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",2000-12-09,100000000.0,89636687,80025000,52.83%,47.17%,169661687,69661687.0,7.2
The Lone Ranger,Walt Disney Studios Motion Pictures,"Action, Adventure, Western",2013-07-03,255000000.0,89302115,171200000,34.28%,65.72%,260502115,5502115.0,5.9
Taken 3,Twentieth Century Fox,"Action, Crime, Thriller",2014-12-16,48000000.0,89256424,237222717,27.34%,72.66%,326479141,278479141.0,6.1
Scream 3,Dimension Films,"Horror, Mystery",2000-02-03,40000000.0,89143175,72691101,55.08%,44.92%,161834276,121834276.0,5.7
Oblivion,Universal Pictures,"Action, Adventure, Sci-Fi",2013-04-10,120000000.0,89107235,197061337,31.14%,68.86%,286168572,166168572.0,6.4
The Ugly Truth,Sony Pictures Entertainment (SPE),"Comedy, Romance",2009-07-24,38000000.0,88915214,232767386,27.64%,72.36%,321682600,283682600.0,6.4
Percy Jackson & the Olympians: The Lightning Thief,Twentieth Century Fox,"Adventure, Family, Fantasy",2010-02-01,95000000.0,88768303,137728906,39.19%,60.81%,226497209,131497209.0,6.0
Failure to Launch,Paramount Pictures,"Comedy, Romance",2006-03-10,50000000.0,88715192,41508966,68.12%,31.88%,130224158,80224158.0,5.5
The Muppets,Walt Disney Studios Motion Pictures,"Adventure, Comedy, Family, Musical",2011-11-22,45000000.0,88631237,76553000,53.66%,46.34%,165184237,120184237.0,6.5
Inside Man,Universal Pictures,"Crime, Drama, Mystery, Thriller",2006-03-23,45000000.0,88513495,97490096,47.59%,52.41%,186003591,141003591.0,7.3
Back to the Future Part III,Universal Pictures,"Adventure, Comedy, Sci-Fi, Western",1990-05-25,40000000.0,88277583,156800000,36.02%,63.98%,245077583,205077583.0,7.1
Waterworld,Universal Pictures,"Action, Adventure, Sci-Fi",1995-07-28,175000000.0,88246220,175972000,33.40%,66.60%,264218220,89218220.0,5.9
Starsky & Hutch,Warner Bros.,"Comedy, Crime",2004-03-05,60000000.0,88237754,82030996,51.82%,48.18%,170268750,110268750.0,5.6
Along Came Polly,Universal Pictures,"Comedy, Romance",2004-01-16,42000000.0,88097164,90214565,49.41%,50.59%,178311729,136311729.0,5.8
Entrapment,Twentieth Century Fox,"Action, Crime, Romance, Thriller",1999-04-29,66000000.0,87704396,124700000,41.29%,58.71%,212404396,146404396.0,6.0
Pineapple Express,Sony Pictures Entertainment (SPE),"Action, Comedy, Crime",2008-08-06,27000000.0,87341380,14283463,85.94%,14.06%,101624843,74624843.0,6.6
Saw II,Lionsgate,"Horror, Mystery",2005-10-28,4000000.0,87039965,60708540,58.91%,41.09%,147748505,143748505.0,6.3
The Naked Gun 2½: The Smell of Fear,Paramount Pictures,"Comedy, Crime",1991-06-28,23000000.0,86930411,86930411,50.00%,50.00%,173860822,150860822.0,6.6
The Campaign,Warner Bros.,Comedy,2012-08-09,95000000.0,86907746,18000000,82.84%,17.16%,104907746,9907746.0,5.6
Dumb and Dumber To,Universal Pictures,Comedy,2014-11-12,40000000.0,86208010,83629000,50.76%,49.24%,169837010,129837010.0,5.4
Mean Girls,Paramount Pictures,Comedy,2004-04-30,17000000.0,86058055,44068222,66.13%,33.87%,130126277,113126277.0,6.9
Annie,Sony Pictures Entertainment (SPE),"Comedy, Drama, Family, Musical",2014-12-19,65000000.0,85911262,50942244,62.78%,37.22%,136853506,71853506.0,6.0
